col_s,row_s,proportion_lichen
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
0,1,
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,
11,1,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,1,
19,1,
20,1,
21,1,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,1,
31,1,
32,1,
33,1,
34,1,
35,1,
36,1,
37,1,
0,2,
1,2,
2,2,0.473682762541898
3,2,0.5880489158096006
4,2,
5,2,
6,2,
7,2,
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
24,2,
25,2,
26,2,
27,2,
28,2,
29,2,
30,2,
31,2,
32,2,
33,2,
34,2,
35,2,
36,2,
37,2,
0,3,
1,3,
2,3,0.6340576553608848
3,3,0.6302426990815676
4,3,0.8494559560546382
5,3,0.9057999257183994
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
16,3,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
23,3,
24,3,
25,3,
26,3,
27,3,
28,3,
29,3,
30,3,
31,3,
32,3,
33,3,
34,3,
35,3,
36,3,
37,3,
0,4,
1,4,0.5391147650729748
2,4,0.6256207328200872
3,4,0.8109395705423016
4,4,1.0
5,4,0.9064831330328443
6,4,
7,4,
8,4,
9,4,
10,4,
11,4,
12,4,
13,4,
14,4,
15,4,
16,4,
17,4,
18,4,
19,4,
20,4,
21,4,
22,4,
23,4,
24,4,
25,4,
26,4,
27,4,
28,4,
29,4,
30,4,
31,4,
32,4,
33,4,
34,4,
35,4,
36,4,
37,4,
0,5,
1,5,0.4272430062955949
2,5,0.7213522919542021
3,5,0.8376442644975216
4,5,0.9906093383893732
5,5,0.9211560417994489
6,5,0.7296367095238533
7,5,0.7799063685009331
8,5,0.4791988591813434
9,5,0.8979361636762972
10,5,
11,5,
12,5,
13,5,
14,5,
15,5,
16,5,
17,5,
18,5,
19,5,
20,5,
21,5,
22,5,
23,5,
24,5,
25,5,
26,5,
27,5,
28,5,
29,5,
30,5,
31,5,
32,5,
33,5,
34,5,
35,5,
36,5,
37,5,
0,6,
1,6,0.2715534275027341
2,6,0.6080635229894037
3,6,0.8505665787466341
4,6,0.9095312054847396
5,6,0.531729328836239
6,6,0.7125108217134226
7,6,0.956474988741947
8,6,0.6320960197038902
9,6,0.9923537142384502
10,6,0.9744143514901986
11,6,0.37719532032606995
12,6,0.9469906535184862
13,6,1.0
14,6,0.9940263392487891
15,6,
16,6,
17,6,
18,6,
19,6,
20,6,
21,6,
22,6,
23,6,
24,6,
25,6,
26,6,
27,6,
28,6,
29,6,
30,6,
31,6,
32,6,
33,6,
34,6,
35,6,
36,6,
37,6,
0,7,
1,7,0.494742971905965
2,7,0.8852532681611636
3,7,0.8977665081686834
4,7,0.6756186694422919
5,7,0.5921298185603125
6,7,0.7056134030566763
7,7,0.8741477103384399
8,7,0.3619714887041529
9,7,0.8465718124252025
10,7,0.9625840826451586
11,7,0.5309896418434675
12,7,0.9328622718248055
13,7,0.9410353732618945
14,7,0.9997065418246679
15,7,0.6321501772212262
16,7,
17,7,
18,7,
19,7,
20,7,
21,7,
22,7,
23,7,
24,7,
25,7,
26,7,
27,7,
28,7,
29,7,
30,7,
31,7,
32,7,
33,7,
34,7,
35,7,
36,7,
37,7,
0,8,
1,8,0.5667594422460555
2,8,0.8688287809105457
3,8,0.8402395352356148
4,8,0.5596384962102627
5,8,0.8890728097244703
6,8,0.9159322127358447
7,8,0.9617908285149641
8,8,0.5284814915011761
9,8,0.757112921788811
10,8,0.8082250824204797
11,8,0.6460802699815213
12,8,0.8094080856897872
13,8,0.9730817656303131
14,8,0.828482867086373
15,8,0.8082250824204797
16,8,0.8707316737662147
