col_s,row_s,proportion_lichen,sqrt_proportion_lichen
19,16,1.0,10.0
19,37,1.0,10.0
7,39,0.8374425120019808,9.151188512985517
18,41,0.9955155922582064,9.977552767378414
10,45,0.983566342181403,9.917491326849763
8,44,0.9765187606894432,9.881896380196684
11,51,1.0,10.0
8,63,0.9624373535574926,9.810389154144154
33,27,1.0,10.0
19,15,0.9386672413555932,9.68848409894754
29,16,0.9844467167073992,9.921928828143242
27,19,1.0,10.0
23,10,0.9859140075840596,9.929320256614044
30,26,1.0,10.0
12,65,0.8862987129107841,9.414343911876092
21,11,0.9506623442722923,9.750191507207909
26,24,0.9989728963863376,9.994863162576753
35,16,0.8984634713350972,9.47873130400423
4,13,0.8414866144047937,9.17325795126679
17,41,1.0,10.0
20,24,0.9788762165589876,9.89381734498362
27,31,0.8204593285605316,9.057921000762436
25,22,0.9765233459734328,9.881919580594818
30,16,1.0,10.0
13,7,0.9410353732618943,9.700697775221608
16,34,0.9906093383893732,9.9529359406628
29,29,1.0,10.0
23,26,0.871612048292211,9.33601653968228
10,35,0.9074139456827258,9.5258277628914
13,8,0.9730817656303132,9.864490689489818
15,48,0.9765233459734328,9.881919580594818
12,35,0.8812961680781699,9.38773757663778
6,38,0.8256242475485015,9.086386782151097
23,17,0.901398053088418,9.494198507975373
9,11,0.9781373659377594,9.890082739480794
3,14,0.9286896633943024,9.63685458743828
10,20,0.8323790793210245,9.123481130144482
11,14,0.8899531842504665,9.433733005817295
14,43,0.999853270912334,9.999266327647916
12,40,0.8301642297194217,9.11133486224396
9,9,0.9638129387543618,9.817397510309757
21,21,0.93397191055028,9.664222216765712
5,19,0.9415467997010396,9.703333446301016
25,27,0.9808475246068872,9.903774657204632
6,12,0.8658867210116624,9.30530343949977
29,20,1.0,10.0
15,32,0.8280335092553958,9.099634658904696
29,18,0.9906093383893732,9.9529359406628
14,11,0.8102792896478044,9.001551475428025
9,15,0.82988137870319,9.109782536939012
21,37,0.9821449041446382,9.910322417281076
23,12,0.967426142538138,9.835782340709548
26,19,0.9859140075840596,9.929320256614044
11,56,0.9961850437206828,9.980906991454647
33,22,0.9728551187817818,9.86334182101473
9,36,0.964051373521819,9.81861178335216
27,38,0.9475374732334048,9.73415365213332
14,35,1.0,10.0
16,44,1.0,10.0
19,23,0.9612635208561642,9.804404728774532
20,23,0.9589241896499436,9.792467460502198
19,26,0.8292531947966197,9.106334030753647
27,23,0.9869130878311936,9.934349942654494
17,32,0.9760831587104348,9.879692093939138
18,16,0.9906093383893732,9.9529359406628
3,11,0.9766700750610988,9.882661964577656
14,46,0.9629875876362404,9.813193097235173
8,22,0.9625840826451586,9.811136950655406
18,32,0.9266354561669776,9.626190607748102
27,20,0.9605076534841313,9.80054923707917
32,25,0.9627308117328248,9.811884690174589
24,21,0.9765233459734328,9.881919580594818
12,12,0.9118158183127072,9.548904745114529
19,18,0.8820298135165001,9.39164423046625
19,27,0.8631847883026532,9.290773855296733
11,64,0.9248747071149852,9.61704064208416
10,37,0.9762298877981008,9.880434645288137
30,25,1.0,10.0
31,18,0.98664765302239,9.933013908287808
26,28,0.9961483614487664,9.98072322754602
19,43,0.993461385030882,9.96725330786211
31,30,0.967132684362806,9.83429043888173
7,60,0.9436560303362388,9.71419595404704
14,54,0.9591217799670988,9.793476297858176
22,36,0.9658121225738115,9.827574077939133
6,52,1.0,10.0
18,35,0.8641288648212427,9.295853187423104
7,52,0.9360261177776046,9.67484427666722
12,15,0.9624373535574926,9.810389154144154
28,37,0.9868264790979828,9.933914027703192
13,49,0.9238312302984072,9.61161396591856
13,30,0.9804431537252668,9.901732947950409
5,29,0.8408952308461225,9.170033974016247
6,22,0.8915780573655238,9.442341115240032
32,21,0.8359568799893622,9.143067756444562
14,58,0.9839515060365264,9.919432977930374
17,11,0.8380110872166867,9.154294550737848
32,30,0.9906093383893732,9.9529359406628
18,9,0.8286204256060599,9.102859032227512
10,66,0.963189340131781,9.814221008983754
27,24,0.9948534615066492,9.974234113487858
29,33,1.0,10.0
13,18,0.8700131420536527,9.327449501625043
10,57,0.8408356221542581,9.16970894933017
35,18,1.0,10.0
11,61,0.9294326860335812,9.64070892638908
33,16,1.0,10.0
12,20,1.0,10.0
24,27,0.9388297139076012,9.689322545501318
33,20,0.9435351205300936,9.713573598475968
6,21,0.8438898640762423,9.186347827489673
27,34,0.9995956291183796,9.9979779411558
20,13,0.8726813903369006,9.341741755887393
13,22,0.8769242080304381,9.364423143100904
10,36,0.8177624731187726,9.043022023188778
15,41,0.825832572940405,9.08753306976324
12,41,0.9716812860804532,9.857389543284029
9,59,0.9345588269009442,9.66725828195846
26,20,0.8756008124178621,9.357354393298683
14,26,0.9649088216278676,9.822977255536468
24,10,0.8450540834246569,9.19268232576682
32,19,0.9049195511924032,9.512725956277745
6,53,0.9630919668048268,9.813724913634102
11,59,0.9624373535574926,9.810389154144154
7,17,0.8710526436454842,9.333020109511628
12,37,0.8237783657130804,9.076223695530429
20,25,0.9136851972686584,9.55868818022985
8,11,1.0,10.0
21,22,0.9031588021404106,9.503466747142385
13,53,0.9023628125832868,9.499277933523617
32,29,0.9371999504789328,9.680908792458135
33,26,0.9677196007134702,9.837274016278444
31,32,1.0,10.0
21,27,0.9278565586199924,9.632531124372203
7,13,0.9291248127487112,9.639112058424836
10,44,1.0,10.0
23,25,0.9862074657593918,9.930797882141151
19,20,0.942946944702282,9.71054552897149
17,43,0.9823420713561896,9.911317124157565
28,16,0.992892809816176,9.964400683514167
10,40,0.9633860547187324,9.815223149367172
23,22,0.8859914988834834,9.412712143072705
14,50,0.9498186520182128,9.745864004890551
27,33,0.9083423898027224,9.530699815872508
22,35,0.8781781749652665,9.371116128643733
13,55,0.9314775160599572,9.65130828468326
7,14,0.8239250948007465,9.077031975270035
5,21,0.921449499974781,9.599216113697937
15,38,0.935168669671556,9.670411933684914
23,21,0.9972121473343452,9.986051007952767
8,40,0.9382323478324802,9.686239455188376
10,16,0.8753628105956742,9.356082570155491
30,29,0.967132684362806,9.83429043888173
32,14,0.9906093383893732,9.9529359406628
24,33,0.958974736010146,9.792725545067348
29,39,0.9991196254740036,9.995597158119184
28,20,1.0,10.0
24,11,0.9885551311620484,9.942610980834202
27,17,0.8672514727371313,9.312633745279213
6,60,0.9727968679637168,9.863046527132054
27,29,0.9732104290926468,9.865142822547714
10,51,0.9906093383893732,9.9529359406628
13,63,0.9084789221677956,9.531416065663043
17,30,0.8760139209221923,9.359561533117844
32,24,0.9624373535574926,9.810389154144154
5,11,0.8210684628752482,9.06128281688221
15,14,0.8391849199180151,9.16070368431386
16,43,1.0,10.0
19,22,1.0,10.0
15,49,1.0,10.0
29,35,1.0,10.0
10,60,0.9850336330580636,9.924886060091891
17,22,1.0,10.0
11,57,0.9508274144959168,9.751037967805871
31,20,0.9858837801325232,9.9291680423514
16,36,0.8302344455703864,9.111720175523317
3,10,0.9233340516944916,9.609027274883196
22,40,1.0,10.0
9,38,0.9294966733764656,9.641040780831007
13,54,0.8787231299158209,9.374023308674994
12,61,0.9723511409692036,9.86078668752754
21,28,0.9518178358376626,9.7561151891399
12,63,0.9850336330580636,9.924886060091891
13,65,0.818612088851311,9.047718435336671
15,46,0.8930344950914535,9.45005023844558
31,33,1.0,10.0
17,8,0.8969961804584367,9.470988229632834
14,8,0.828482867086373,9.102103422211664
13,48,0.9991177362582828,9.995587707875323
15,20,0.9111854500004596,9.54560343823511
12,64,0.9718280151681196,9.858133774544346
6,20,0.9871797233325352,9.935691839688545
13,31,0.9051566477653914,9.513972081971817
18,19,0.8368372545153584,9.14788092683414
6,13,0.8392123634622115,9.160853472587648
23,11,0.973148576957114,9.864829329274349
19,39,1.0,10.0
11,46,0.9710072493339876,9.853970008752755
2,12,0.8104489451554182,9.00249379425178
10,65,0.9765233459734328,9.881919580594818
20,41,0.957945428311476,9.787468663099135
9,61,0.9194199115898208,9.588638649932642
14,22,0.9801457203251884,9.90023090804042
3,4,0.8109395705423016,9.005218323518323
28,12,0.9179325871547854,9.580879850800684
19,42,1.0,10.0
18,25,0.9813654058664124,9.906388877216624
28,30,0.9041583940501356,9.508724383691725
3,5,0.8376442644975216,9.152290776070885
10,10,0.917611617275516,9.57920465005063
7,27,0.9827682862945842,9.913467033760613
15,51,0.9591497049369752,9.793618866062612
12,29,0.9395934687214852,9.693262963117656
9,55,0.977110262324097,9.884888781994956
24,12,0.9879682148113844,9.939659022377905
24,18,1.0,10.0
21,23,0.9746663059576596,9.872518958997544
18,28,0.9116690892250412,9.548136410970685
18,34,0.85532511956128,9.248378882600344
8,61,0.960298131622722,9.799480249598558
16,28,1.0,10.0
9,39,0.8474751133711467,9.205841153154593
12,51,0.9462971539142276,9.72778059946989
2,8,0.8688287809105457,9.321098545292534
4,12,0.9718280151681196,9.858133774544346
4,6,0.9095312054847396,9.536934546722756
18,33,0.9369181424672138,9.679453199779488
12,54,0.9330949995864388,9.659684257709664
23,24,0.993250461967362,9.966195171515366
21,34,0.9053964207273176,9.515232108190098
8,34,0.865009239347239,9.30058728977498
5,26,0.86163447033092,9.28242678576524
18,13,0.9182067989449596,9.582310780521365
16,21,0.9577420227521792,9.786429495746544
14,31,0.8334624854990393,9.12941665989147
7,8,0.961790828514964,9.807093496622556
13,10,0.9554456810432768,9.774690179454677
27,35,0.997169403828657,9.985836989600106
17,21,0.9404279904075858,9.697566655649169
29,37,1.0,10.0
22,26,0.9247279780273192,9.616277751954335
16,16,0.8661830720485674,9.306895680346736
11,39,0.9906093383893732,9.9529359406628
27,11,0.9011680804330444,9.4929873087087
6,54,0.9030374477334266,9.502828251280912
13,25,0.8126246427291358,9.014569555609052
21,33,0.8469272408120503,9.20286499309889
22,20,0.95765134039757,9.785966178142912
11,52,0.9791644695514216,9.895273970696422
31,17,0.9906093383893732,9.9529359406628
2,2,0.473682762541898,6.882461496745899
3,2,0.5880489158096006,7.668434754300258
2,3,0.6340576553608848,7.962773733824695
3,3,0.6302426990815676,7.938782646486598
1,4,0.5391147650729748,7.342443497044937
2,4,0.6256207328200872,7.909619035200667
1,5,0.4272430062955949,6.536382839886255
2,5,0.7213522919542021,8.493246092950574
6,5,0.7296367095238533,8.541877484042097
7,5,0.7799063685009331,8.831230766438692
8,5,0.4791988591813434,6.922419079926781
1,6,0.2715534275027341,5.211078847059734
2,6,0.6080635229894037,7.797842797783267
5,6,0.531729328836239,7.291977295879623
6,6,0.7125108217134226,8.441035610121679
8,6,0.6320960197038902,7.950446652257281
11,6,0.3771953203260699,6.1416229152079165
1,7,0.494742971905965,7.033796783430447
4,7,0.6756186694422919,8.219602602573266
5,7,0.5921298185603125,7.694997196622703
6,7,0.7056134030566763,8.400079779720405
8,7,0.3619714887041529,6.016406641045408
11,7,0.5309896418434675,7.286903607455416
15,7,0.6321501772212262,7.950787239143217
1,8,0.5667594422460555,7.528342727626416
4,8,0.5596384962102627,7.480898984816348
8,8,0.5284814915011761,7.269673249198867
9,8,0.757112921788811,8.701223602395302
10,8,0.8082250824204797,8.990133939049405
11,8,0.6460802699815213,8.037911855584891
12,8,0.8094080856897872,8.996710986187049
15,8,0.8082250824204797,8.990133939049405
1,9,0.6446129791048608,8.0287793537054
2,9,0.7066151892117438,8.406040620956716
3,9,0.6637427839093214,8.147041081947
7,9,0.6996638986835649,8.36459143463424
8,9,0.7776870910499842,8.818656876474922
11,9,0.7009661193366011,8.372371941908703
12,9,0.7197474425578548,8.483793034709503
14,9,0.7220859373925324,8.497563988535376
15,9,0.8098391023848062,8.999106079965978
21,9,0.7402299061392368,8.60366146555777
1,10,0.7705065363223271,8.77785017143906
2,10,0.7857021674637419,8.863984247863609
4,10,0.6538660821958008,8.086198626028184
7,10,0.7382353076037764,8.592062078475553
11,10,0.69141038750235,8.315109064241732
12,10,0.6562137475984575,8.100702115239503
14,10,0.6735277799430508,8.206873825903813
15,10,0.5837295782914315,7.640219750055828
