col_s,row_s,proportion_lichen
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
0,1,
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,
11,1,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,1,
19,1,
20,1,
21,1,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,1,
31,1,
32,1,
33,1,
34,1,
35,1,
36,1,
37,1,
0,2,
1,2,
2,2,0.17087519315508806
3,2,0.24976500419553485
4,2,
5,2,
6,2,
7,2,
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
24,2,
25,2,
26,2,
27,2,
28,2,
29,2,
30,2,
31,2,
32,2,
33,2,
34,2,
35,2,
36,2,
37,2,
0,3,
1,3,
2,3,0.20967586627477772
3,3,0.2755251296489048
4,3,0.48599883533786664
5,3,0.5607022820958416
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
16,3,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
23,3,
24,3,
25,3,
26,3,
27,3,
28,3,
29,3,
30,3,
31,3,
32,3,
33,3,
34,3,
35,3,
36,3,
37,3,
0,4,
1,4,0.24929271994460978
2,4,0.17548798884858935
3,4,0.6715469372595592
4,4,0.9709476406421231
5,4,0.7466951565645218
6,4,
7,4,
8,4,
9,4,
10,4,
11,4,
12,4,
13,4,
14,4,
15,4,
16,4,
17,4,
18,4,
19,4,
20,4,
21,4,
22,4,
23,4,
24,4,
25,4,
26,4,
27,4,
28,4,
29,4,
30,4,
31,4,
32,4,
33,4,
34,4,
35,4,
36,4,
37,4,
0,5,
1,5,0.11048700301253159
2,5,0.3404114833852235
3,5,0.5462402963927571
4,5,0.921059750835668
5,5,0.865692446661684
6,5,0.5827397965279245
7,5,0.5126118236132955
8,5,0.1598705115801347
9,5,0.7109849648537983
10,5,
11,5,
12,5,
13,5,
14,5,
15,5,
16,5,
17,5,
18,5,
19,5,
20,5,
21,5,
22,5,
23,5,
24,5,
25,5,
26,5,
27,5,
28,5,
29,5,
30,5,
31,5,
32,5,
33,5,
34,5,
35,5,
36,5,
37,5,
0,6,
1,6,0.030585143046199373
2,6,0.17527639668783487
3,6,0.5220703789138966
4,6,0.7677808309821618
5,6,0.4587955261876097
6,6,0.6588719630127651
7,6,0.7617152677578554
8,6,0.48894872761026
9,6,0.9488287029803972
10,6,0.906774131291873
11,6,0.24691437446581688
12,6,0.8672928288500243
13,6,1.0
14,6,0.9940263392487891
15,6,
16,6,
17,6,
18,6,
19,6,
20,6,
21,6,
22,6,
23,6,
24,6,
25,6,
26,6,
27,6,
28,6,
29,6,
30,6,
31,6,
32,6,
33,6,
34,6,
35,6,
36,6,
37,6,
0,7,
1,7,0.08877109803795698
2,7,0.5577172622186355
3,7,0.6657098707408443
4,7,0.4013865898784441
5,7,0.4939680589117287
6,7,0.6692935456893145
7,7,0.8398864683684184
8,7,0.30892892351287776
9,7,0.7966839226187474
10,7,0.925548743861451
11,7,0.45753797761464354
12,7,0.8897239200509883
13,7,0.9288307248348053
14,7,0.9997065418246679
15,7,0.4478584431126742
16,7,
17,7,
18,7,
19,7,
20,7,
21,7,
22,7,
23,7,
24,7,
25,7,
26,7,
27,7,
28,7,
29,7,
30,7,
31,7,
32,7,
33,7,
34,7,
35,7,
36,7,
37,7,
0,8,
1,8,0.11667713639844284
2,8,0.5799925718399369
3,8,0.5883836415408389
4,8,0.3867870456556727
5,8,0.8937681405297837
6,8,0.9293132128185569
7,8,0.9531338123426675
8,8,0.5025104429842863
9,8,0.7430269293728707
10,8,0.7358647157811719
11,8,0.592987266666361
12,8,0.7279734420351325
13,8,0.9560246666237788
14,8,0.6737020207346542
15,8,0.6611841954431448
16,8,0.6455758887426692
